Issue Type,Summary,Description,Priority,Labels,Estado
Task,T-1 Configuración Base,"Definición de enums en Prisma, creación de todos los modelos de base (employees, partners, bank_accounts, cash_boxes, sessions, movements, payments, checks, credit_cards, current_accounts), migración de la base de datos.",High,tesoreria;config,✅ Completado
Task,T-2 Cajas y Sesiones,"CRUD de cajas con soporte multi-moneda (cash_box_balances), sistema de sesiones para control de turnos (apertura/cierre), cierre forzado para sesiones olvidadas, rendiciones periódicas, guards de acceso por sesión y rol.",High,tesoreria;cajas,✅ Completado
Task,T-3 Cuentas Bancarias,"CRUD de cuentas bancarias de la empresa, saldos, y movimientos bancarios. Cada cuenta opera en una moneda. Los movimientos se crean automáticamente al confirmar pagos.",High,tesoreria;bancos,✅ Completado
Task,T-4 Pagos y Cobros,"Sistema de pagos (salidas) y cobros (entradas) con integración directa a facturas. Soporta múltiples métodos de pago, pagos parciales, validación de saldo pendiente, integración con current_accounts.",High,tesoreria;pagos,✅ Completado
Task,T-5 Cheques,"Gestión de cheques propios y de terceros con flujo híbrido. Cheques propios: notificación automática, confirmación/rechazo, procesamiento automático. Cheques de terceros: marca como cobrados o rechazados.",High,tesoreria;cheques,❌ Pendiente
Task,T-6 Cuentas Corrientes,"Libro mayor para terceros (clientes, proveedores, empleados, socios) con saldos por moneda. Entradas se crean automáticamente al registrar pagos/cobros.",High,tesoreria;cuentas-corrientes,✅ Completado
Task,T-7 Tarjetas de Crédito,"CRUD de tarjetas con configuración de comisiones y clearing, transacciones de compra/cobro con cálculo automático de comisión, cuotas individuales, resúmenes mensuales.",High,tesoreria;tarjetas,❌ Pendiente
Task,T-8 Transferencias y Caja Principal,"Transferencias de dinero entre cajas y/o cuentas bancarias con verificación de fondos. Incluye transferencias manuales, cierre automático con transferencia, y gestión de caja principal.",High,tesoreria;transferencias,✅ Completado
Task,T-9 Seguridad y Permisos,"RBAC completo para el módulo: ~40 permisos, asignación por rol (admin/manager/cajero/viewer), y guards NestJS: CashBoxAccessGuard y CashBoxSessionGuard.",High,tesoreria;seguridad,✅ Completado (guards listos, RBAC seed pendiente)
Task,T-10 Integración y Módulo,"Registro del módulo en NestJS: crear TesoreriaModule, registrar en ModulesModule, verificar PrismaService con multi-tenancy, probar auditoría, validar endpoints.",Medium,tesoreria;integracion,✅ Completado
